mr,ref
"give_opinion(name[Dirt: Showdown], developer[Codemasters Southam], rating[average], player_perspective[first person])","Codemasters Southam popped out a pretty average first person game in Dirt: Showdown, I think."
"give_opinion(name[Payday 2], rating[average], genres[role-playing, shooter], player_perspective[first person])","As far as first person RPG shooters go, Payday 2 is more of the same, not really great, but not really bad either. Middle of the road, you know?"
"give_opinion(name[The Last of Us], release_year[2013], developer[Naughty Dog], rating[excellent])","2013 was the year Naughty Dog really came into their own as a masterful developer, so it's no surprise that I really love The Last of Us."
"inform(name[World of Warcraft: Battle for Azeroth], exp_release_date[August 14, 2018], genres[MMORPG], player_perspective[third person])","World of Warcraft: Battle for Azeroth is to be released on August 14, 2018 as a third person MMORPG."
"inform(name[NBA 2K19], exp_release_date[September 11, 2018], genres[sport])","NBA 2K19 is a sports game that will be released on September 11, 2018."
"inform(name[Little Big Adventure], release_year[1994], developer[Adeline Software International], esrb[T (for Teen)], rating[average], genres[action-adventure], player_perspective[third person], has_multiplayer[no])",Little Big Adventure is an average-rated third person action-adventure for single-player gaming. It came out in 1994 by Adeline Software International and is rated T (for Teen).
"inform(name[Football Manager 2015], genres[simulation, sport, strategy], has_multiplayer[yes])","Football Manager 2015 is sport simulation game as well as a strategy game, and it does have multiplayer."
"inform(name[Need for Speed: Payback], rating[poor], genres[driving/racing], player_perspective[third person], has_multiplayer[yes])",Need for Speed: Payback is a multiplayer third person driving/racing game. It has poor ratings.
"inform(name[Outlast II], esrb[M (for Mature)], genres[adventure, indie])","If you like indie adventures with M (for Mature) ratings, try Outlast II."
"inform(name[Layers of Fear], release_year[2015], genres[adventure, indie, point-and-click], player_perspective[first person], has_multiplayer[no], platforms[PlayStation, Xbox, Nintendo Switch, PC], available_on_steam[yes])","An indie adventure game, Layers of Fear, was released in 2015 to be played on PlayStation, Xbox, Nintendo Switch, PC, and Steam. It is a first person, point-and-click game that cannot be played multiplayer."
"inform(name[The Elder Scrolls V: Skyrim], release_year[2011], esrb[M (for Mature)], genres[adventure, role-playing])",The Elder Scrolls V: Skyrim is an adventure RPG that came out in 2011. It's rated M (for Mature).
"inform(name[Bus Driver], release_year[2014], esrb[E (for Everyone)], genres[driving/racing, indie, simulation], platforms[PC], available_on_steam[yes], has_linux_release[no], has_mac_release[no])","Bus Driver is a 2014 indie driving simulation game that was developed for PC only. It is rated E (for Everyone) and is available on Steam, though it isn't compatible with Linux and Mac."
"inform(name[Metro Exodus], exp_release_date[2019], genres[adventure, shooter, tactical], platforms[PlayStation, Xbox, PC])","Metro Exodus should be out for the PlayStation, Xbox, and PC in 2019. It's an adventure tactical shooter game."
"inform(name[Tom Clancy's The Division], release_year[2016], esrb[M (for Mature)], genres[role-playing, shooter, tactical], player_perspective[third person])","Tom Clancy's The Division, which arrived in 2016, is a role-playing tactical shooter played from the third person perspective. It's rated M (for Mature)."
"inform(name[Final Fantasy VII], rating[excellent], genres[adventure, role-playing], player_perspective[bird view, third person])",The excellent Final Fantasy VII is a third person role-playing adventure game that also allows you to switch to a bird view perspective.
"inform(name[TrackMania Turbo], release_year[2016], genres[arcade, driving/racing], player_perspective[first person, third person])",TrackMania Turbo is a 2016 arcade racing game in which you can switch between first and third person view.
"inform(name[Heroes of Might and Magic III: The Restoration of Erathia], release_year[1999], genres[turn-based strategy], has_multiplayer[yes])","In 1999 a multiplayer turn-based strategy, Heroes of Might and Magic III: The Restoration of Erathia, was released."
"inform(name[World of Warcraft: Battle for Azeroth], exp_release_date[August 14, 2018], genres[MMORPG], player_perspective[third person], platforms[PC])","The third person MMORPG, World of Warcraft: Battle for Azeroth, is being released on August 14, 2018, for PC only though."
"inform(name[The Legend of Zelda: Ocarina of Time], release_year[1998], developer[Nintendo EAD], esrb[E (for Everyone)], rating[excellent], genres[action-adventure, puzzle, role-playing], player_perspective[bird view, third person], platforms[Nintendo])","For an excellent puzzle role-playing game, try The Legend of Zelda: Ocarina of Time. This action-adventure gives players a bird view or third person perspective. Developed by Nintendo EAD, it was released in 1998 for Nintendo and is rated E (for Everyone)."
"inform(name[NHL 15], release_year[2014], genres[simulation, sport], player_perspective[bird view], platforms[PlayStation, Xbox])",NHL 15 is a bird view simulation sport game. It was released in 2014 for PlayStation and Xbox.
"inform(name[Tomb Raider: The Angel of Darkness], release_year[2003], genres[action-adventure, shooter], player_perspective[third person], platforms[PlayStation, PC], available_on_steam[yes])","Tomb Raider: The Angel of Darkness released on Steam (PC) and PlayStation in 2003. It's an action-adventure, third person shooter."
"inform(name[NHL 15], release_year[2014], genres[simulation, sport], player_perspective[bird view], platforms[PlayStation, Xbox])","If you are interested in sports simulation games, try NHL 15 from 2014. It was released for PlayStation and Xbox and is played from a bird view."
"inform(name[Layers of Fear], rating[poor], genres[adventure, indie, point-and-click], player_perspective[first person])",Layers of Fear is a poor indie first person point-and-click adventure game.
"inform(name[Resident Evil 4], genres[action-adventure, shooter], player_perspective[third person], has_multiplayer[no])","Resident Evil 4 is a third person shooter game. Even though it doesn't have multiplayer, I would recommend it to anyone who enjoys action-adventure games."
"inform(name[Skyforge], rating[poor], genres[adventure, hack-and-slash, MMORPG], player_perspective[third person])","Skyforge is a hack-and-slash, MMORPG adventure with a third person player perspective. It has received poor ratings."
"inform(name[Layers of Fear], esrb[M (for Mature)], rating[poor], genres[adventure, indie, point-and-click], player_perspective[first person], has_multiplayer[no])","Layers of Fear is a single-player first person indie adventure, point-and-click game with poor ratings. It is rated M (for Mature)."
"inform(name[Need for Speed: Shift], release_year[2009], developer[Slightly Mad Studios], rating[average], genres[driving/racing, simulation], player_perspective[first person, third person])","Try Need for Speed: Shift, Slightly Mad Studios released it in 2009 and it got average ratings. It's a driving simulator with first and third person perspectives."
"inform(name[Ori and the Blind Forest], release_year[2015], rating[excellent], genres[adventure, platformer, puzzle], player_perspective[side view], platforms[Xbox, PC], available_on_steam[yes])",Ori and the Blind Forest is an excellent side view adventure puzzle platformer. This 2015 game is on Xbox and PC through Steam.
"inform(name[The Witcher 3: Wild Hunt], esrb[M (for Mature)], rating[excellent], genres[action-adventure, role-playing], player_perspective[third person], has_multiplayer[no])","The Witcher 3: Wild Hunt is an excellent third person action-adventure role-playing game with no multiplayer, and it's rated M (for Mature)."
"inform(name[Half-Life 2], developer[Valve Corporation], rating[excellent], genres[shooter], player_perspective[first person], has_multiplayer[no])",Half-Life 2 was an excellent first person shooter game by Valve Corporation. It didn't have multiplayer though.
"inform(name[Warcraft III: Reign of Chaos], release_year[2002], genres[real-time strategy], player_perspective[bird view], platforms[PC], available_on_steam[no])",Warcraft III: Reign of Chaos is a real-time strategy PC game. It was created in 2002 and offers a bird view perspective. It isn't available on Steam.
"inform(name[Need for Speed: Most Wanted], release_year[2005], rating[good], genres[driving/racing], has_multiplayer[yes])",Need for Speed: Most Wanted is a good 2005 game. It is a driving/racing game with multiplayer features.
"inform(name[Tomb Raider: The Angel of Darkness], release_year[2003], developer[Core Design], genres[action-adventure, shooter], has_multiplayer[no])",Tomb Raider: The Angel of Darkness is a 2003 action-adventure shooter developed by Core Design. There is no multiplayer mode available.
"inform(name[Age of Wonders II: The Wizard's Throne], genres[role-playing, turn-based strategy], platforms[PC], available_on_steam[yes])","Age of Wonders II: The Wizard's Throne is a PC-only game, available on Steam, for those who enjoy role-playing and turn-based strategy."
"inform(name[Heroes of Might and Magic III: The Restoration of Erathia], esrb[E (for Everyone)], rating[good], genres[turn-based strategy], player_perspective[bird view], has_multiplayer[yes])","The turn-based strategy, Heroes of Might and Magic III: The Restoration of Erathia, has a bird view perspective and offers a multiplayer mode. It's a good game, and it was rated E (for Everyone)."
